movieId,title,poster_url,poster_source,title_cleaned,year
171751,Munna bhai M.B.B.S. (2003),https://image.tmdb.org/t/p/w185/nZNUTxGsSB4nLEC9Bpa2xfu81qV.jpg,tmdb_by_id,Munna bhai M.B.B.S.,2003
163527,Comedy Central Roast of David Hasselhoff (2010),https://image.tmdb.org/t/p/w185/sX66iM4rds1pkLBbNYOVWSTcMZR.jpg,tmdb_by_id,Comedy Central Roast of David Hasselhoff,2010
193565,Gintama: The Movie (2010),https://image.tmdb.org/t/p/w185/E3RT3f8oOuPS2pMhgH47TKBPgu.jpg,tmdb_by_id,Gintama: The Movie,2010
180987,Ferdinand (2017),https://image.tmdb.org/t/p/w185/rMm94JsRfcOPiPVsTRcBiiVBOhz.jpg,tmdb_by_id,Ferdinand,2017
167746,The Lego Batman Movie (2017),https://image.tmdb.org/t/p/w185/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,tmdb_by_id,The Lego Batman Movie,2017
168712,Fifty Shades Darker (2017),https://image.tmdb.org/t/p/w185/w3qa274gvca9t8pkUoG8nfQgTU3.jpg,tmdb_by_id,Fifty Shades Darker,2017
185435,"Game Over, Man! (2018)",https://image.tmdb.org/t/p/w185/58BnnYeQOTzdMBghZIH1tSH0REx.jpg,tmdb_by_id,"Game Over, Man!",2018
180095,Wonder (2017),https://image.tmdb.org/t/p/w185/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg,tmdb_by_id,Wonder,2017
166183,Junior and Karlson (1968),https://image.tmdb.org/t/p/w185/H4WHAm4yHcTUMvPgupZ5OcV4nc.jpg,tmdb_by_id,Junior and Karlson,1968
168326,The Big Sick (2017),https://image.tmdb.org/t/p/w185/9fJTT8pBxxQsFILJHTtHhdYFr77.jpg,tmdb_by_id,The Big Sick,2017
175485,Death Note (2017),https://image.tmdb.org/t/p/w185/8xRQ0KG9ZZzjEiFa5fgEaTKhc0d.jpg,tmdb_by_id,Death Note,2017
180045,Molly's Game (2017),https://image.tmdb.org/t/p/w185/tUYapLlLBB1FtDbU79JjhP8LE1a.jpg,tmdb_by_id,Molly's Game,2017
174815,The House (2017),https://image.tmdb.org/t/p/w185/hkmWkVgirei79bwds23Hr0lWSXS.jpg,tmdb_by_id,The House,2017
121097,To Grandmother's House We Go (1992),https://image.tmdb.org/t/p/w185/muzQuNYEQfZEPIN7G5shtKKT3fP.jpg,tmdb_by_id,To Grandmother's House We Go,1992
166203,Sapphire Blue (2014),https://image.tmdb.org/t/p/w185/kxRqokSkj6HWuwVCbnddPFg73CM.jpg,tmdb_by_id,Sapphire Blue,2014
182823,Bright (2017),https://image.tmdb.org/t/p/w185/whkT53Sv2vKAUiknQ13pqcWaPXB.jpg,tmdb_by_id,Bright,2017
172887,Kid's Story (2003),https://image.tmdb.org/t/p/w185/SteXNwc3hRV9o2BlyxV3yBXCV2.jpg,tmdb_by_id,Kid's Story,2003
167036,Sing (2016),https://image.tmdb.org/t/p/w185/xviEKU073QAzeFRzWDdW9xDHPbB.jpg,tmdb_by_id,Sing,2016
182749,Judd Apatow: The Return (2017),https://image.tmdb.org/t/p/w185/h83KVdM6UMJplVA8jgXWk60Kk1Y.jpg,tmdb_by_id,Judd Apatow: The Return,2017
176051,LEGO DC Super Hero Girls: Brain Drain (2017),https://image.tmdb.org/t/p/w185/niLX2txdI5GlVowJlnb5Hr26QpK.jpg,tmdb_by_id,LEGO DC Super Hero Girls: Brain Drain,2017
120799,Terminator Genisys (2015),https://image.tmdb.org/t/p/w185/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,tmdb_by_id,Terminator Genisys,2015
172233,The Prime Gig (2000),https://image.tmdb.org/t/p/w185/gJTeDkT6zYfUlSQFlSiBKfpibwA.jpg,tmdb_by_id,The Prime Gig,2000
177615,Lady Bird (2017),https://image.tmdb.org/t/p/w185/gl66K7zRdtNYGrxyS2YDUP5ASZd.jpg,tmdb_by_id,Lady Bird,2017
172705,Tickling Giants (2017),https://image.tmdb.org/t/p/w185/7NlURmIhGaRuRukWfDg8KNj3oup.jpg,tmdb_by_id,Tickling Giants,2017
170993,Mini's First Time (2006),https://image.tmdb.org/t/p/w185/8LSbj1iwkxM7AZRTKxCxfdmE4Lt.jpg,tmdb_by_id,Mini's First Time,2006
120138,PK (2014),https://image.tmdb.org/t/p/w185/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,tmdb_by_id,PK,2014
183295,Insidious: The Last Key (2018),https://image.tmdb.org/t/p/w185/nb9fc9INMg8kQ8L7sE7XTNsZnUX.jpg,tmdb_by_id,Insidious: The Last Key,2018
176805,Little Boxes (2017),https://image.tmdb.org/t/p/w185/2MARwPALPBlLUN9OyBqvDdeSenQ.jpg,tmdb_by_id,Little Boxes,2017
173255,"Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)",https://image.tmdb.org/t/p/w185/2pD4occ7YI7oXBZWbCUW7U0DXqV.jpg,tmdb_by_id,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2017
120625,The Fool (2014),https://image.tmdb.org/t/p/w185/jJOuPUrkpUDETHqfZU0hXWvuWU0.jpg,tmdb_by_id,The Fool,2014
181065,Jack Whitehall: At Large (2017),https://image.tmdb.org/t/p/w185/AogLjcJoA8Jw11uLuQ62qyKkHZb.jpg,tmdb_by_id,Jack Whitehall: At Large,2017
171759,The Beguiled (2017),https://image.tmdb.org/t/p/w185/x4R9jyiZhJzevASus5n6WyHQTdR.jpg,tmdb_by_id,The Beguiled,2017
182293,Hare-um Scare-um (1939),https://image.tmdb.org/t/p/w185/fsxRmiN1GseeWQQqQLmkFdt2UDW.jpg,tmdb_by_id,Hare-um Scare-um,1939
165843,Risk (2016),https://image.tmdb.org/t/p/w185/rxrkcyNNughClOL8j8qwNgY9xI5.jpg,tmdb_by_id,Risk,2016
193609,Andrew Dice Clay: Dice Rules (1991),https://image.tmdb.org/t/p/w185/yXmkQVETaCr8BHITkLeJe6x1GdA.jpg,tmdb_by_id,Andrew Dice Clay: Dice Rules,1991
180031,The Shape of Water (2017),https://image.tmdb.org/t/p/w185/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg,tmdb_by_id,The Shape of Water,2017
168254,Kong: Skull Island (2017),https://image.tmdb.org/t/p/w185/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,tmdb_by_id,Kong: Skull Island,2017
165347,Jack Reacher: Never Go Back (2016),https://image.tmdb.org/t/p/w185/cOg3UT2NYWHZxp41vpxAnVCOC4M.jpg,tmdb_by_id,Jack Reacher: Never Go Back,2016
171701,The Death of Louis XIV (2016),https://image.tmdb.org/t/p/w185/jIdCmItk3fI0Coze8q8xikoZGE6.jpg,tmdb_by_id,The Death of Louis XIV,2016
171811,Embassy (2013),https://image.tmdb.org/t/p/w185/n8pYUqh3u7vjFWxO3V9TEZQuMsg.jpg,tmdb_by_id,Embassy,2013
176101,Kingsman: The Golden Circle (2017),https://image.tmdb.org/t/p/w185/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,tmdb_by_id,Kingsman: The Golden Circle,2017
165645,Bad Santa 2 (2016),https://image.tmdb.org/t/p/w185/xmsEwpA2fSq6IO3sfKrLuIPLHSc.jpg,tmdb_by_id,Bad Santa 2,2016
121129,The Hungover Games (2014),https://image.tmdb.org/t/p/w185/sOqB812jWYgcHCyT2PVEk3RBtSm.jpg,tmdb_by_id,The Hungover Games,2014
