movieId,title,poster_url,poster_source,0,1,2,3,4,5,6,7,8,9
171751,Munna bhai M.B.B.S. (2003),https://image.tmdb.org/t/p/w185/nZNUTxGsSB4nLEC9Bpa2xfu81qV.jpg,tmdb_by_id,2.4352794,7.928036,6.358868,7.8498955,2.6760468,6.1084323,3.5679936,7.7929516,7.7289395,5.3489485
163527,Comedy Central Roast of David Hasselhoff (2010),https://image.tmdb.org/t/p/w185/sX66iM4rds1pkLBbNYOVWSTcMZR.jpg,tmdb_by_id,1.7505188,6.453828,4.37085,6.3726,3.7199361,7.402461,3.4640617,7.6129646,6.158206,5.016167
193565,Gintama: The Movie (2010),https://image.tmdb.org/t/p/w185/E3RT3f8oOuPS2pMhgH47TKBPgu.jpg,tmdb_by_id,1.4897131,7.137115,4.508754,6.495033,3.1866915,6.8740635,3.501681,7.1986113,6.4571157,5.109467
180987,Ferdinand (2017),https://image.tmdb.org/t/p/w185/rMm94JsRfcOPiPVsTRcBiiVBOhz.jpg,tmdb_by_id,0.7763307,7.2054167,3.6981647,6.5379376,3.4115958,6.627668,3.559534,7.947708,6.4679627,5.139723
167746,The Lego Batman Movie (2017),https://image.tmdb.org/t/p/w185/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,tmdb_by_id,0.87277657,7.230046,5.268402,8.40485,4.6606207,4.8587685,4.0707335,9.000003,7.572199,4.8004007
168712,Fifty Shades Darker (2017),https://image.tmdb.org/t/p/w185/w3qa274gvca9t8pkUoG8nfQgTU3.jpg,tmdb_by_id,0.90411,6.7485666,3.9603844,6.140927,3.6194205,6.862321,3.6103327,7.0330195,6.055568,4.937671
185435,"Game Over, Man! (2018)",https://image.tmdb.org/t/p/w185/58BnnYeQOTzdMBghZIH1tSH0REx.jpg,tmdb_by_id,1.1051538,6.4507394,4.7941303,8.045794,5.436633,5.4713635,4.006347,8.8797245,6.928748,4.5382814
180095,Wonder (2017),https://image.tmdb.org/t/p/w185/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg,tmdb_by_id,0.636117,8.211276,4.236997,7.0828834,2.7468603,5.722077,3.6571941,7.67995,7.1392684,5.2864275
166183,Junior and Karlson (1968),https://image.tmdb.org/t/p/w185/H4WHAm4yHcTUMvPgupZ5OcV4nc.jpg,tmdb_by_id,1.1247348,8.056425,5.4690223,7.0761924,2.2426481,5.954901,3.658896,7.4572506,7.415909,5.4157395
168326,The Big Sick (2017),https://image.tmdb.org/t/p/w185/9fJTT8pBxxQsFILJHTtHhdYFr77.jpg,tmdb_by_id,1.0872318,7.03388,4.671666,7.0041924,3.6715233,6.259602,3.769003,7.7255144,6.744718,5.0640316
