,movieId,0,1,2,3,4,5,6,7,8,9
0,163527,1.7505188,6.453828,4.37085,6.3726,3.7199361,7.402461,3.4640617,7.6129646,6.158206,5.016167
1,180987,0.7763307,7.2054167,3.6981647,6.5379376,3.4115958,6.627668,3.559534,7.947708,6.4679627,5.139723
2,168712,0.90411,6.7485666,3.9603844,6.140927,3.6194205,6.862321,3.6103327,7.0330195,6.055568,4.937671
3,185435,1.1051538,6.4507394,4.7941303,8.045794,5.436633,5.4713635,4.006347,8.8797245,6.928748,4.5382814
4,171751,2.4352794,7.928036,6.358868,7.8498955,2.6760468,6.1084323,3.5679936,7.7929516,7.7289395,5.3489485
5,167746,0.87277657,7.230046,5.268402,8.40485,4.6606207,4.8587685,4.0707335,9.000003,7.572199,4.8004007
6,193565,1.4897131,7.137115,4.508754,6.495033,3.1866915,6.8740635,3.501681,7.1986113,6.4571157,5.109467
7,168326,1.0872318,7.03388,4.671666,7.0041924,3.6715233,6.259602,3.769003,7.7255144,6.744718,5.0640316
8,180045,0.85355,6.516393,3.877149,6.1455464,3.8753903,6.926836,3.6301427,7.282288,5.9878716,4.884842
9,180095,0.636117,8.211276,4.236997,7.0828834,2.7468603,5.722077,3.6571941,7.67995,7.1392684,5.2864275
10,166183,1.1247348,8.056425,5.4690223,7.0761924,2.2426481,5.954901,3.658896,7.4572506,7.415909,5.4157395
11,174815,0.86201465,6.9233027,4.7678432,7.896367,4.7393746,5.384937,3.9756088,8.707735,7.1011133,4.752431
12,175485,3.4965072,5.9607425,6.338004,8.256846,5.0915008,6.874111,3.632202,8.7306385,7.012433,4.7788844
13,121097,1.2713224,7.913495,3.9386659,6.95142,3.4270353,5.9745145,3.627318,6.486234,6.5256205,4.9817133
14,182823,0.8282646,6.943642,3.6414585,7.614201,5.0167036,5.692069,3.8413987,8.520253,6.6205664,4.683362
15,172887,1.1157521,6.7925224,3.7266777,6.147836,3.3584182,7.300408,3.4218807,7.884753,6.1796527,5.155222
16,166203,0.20986205,6.7158623,4.14313,6.3253603,3.8027334,6.2568116,3.8339403,7.356988,6.283513,4.859575
17,167036,-0.38573486,6.7562847,4.5833936,6.660805,3.942063,5.5525174,4.0409427,7.857391,6.6816626,4.7736177
18,182749,0.11849097,6.147229,4.7839446,6.4077744,4.4598694,5.9404697,4.0748687,6.9447017,6.1540227,4.526039
19,176051,0.48473483,6.734853,5.2004743,7.7247396,4.6532264,5.2095785,4.0955577,8.546785,7.138822,4.6885242
20,120799,0.8680187,7.05049,3.550787,7.4934187,4.8003244,5.8042955,3.7901206,8.363941,6.578626,4.7439322
21,172233,2.9623046,7.0954733,6.767701,8.061731,3.3753169,6.5355053,3.5951352,8.425325,7.6402044,5.279778
22,172705,-0.029086445,6.6691537,4.911029,7.4588437,4.6134896,5.1833496,4.132146,8.641509,7.033053,4.673033
23,120138,0.31151512,7.6219788,3.6836789,7.446046,4.0266733,5.4271398,3.8348246,8.423613,6.951695,4.9750624
24,170993,0.06525683,7.4634414,5.2995377,7.157218,3.2846057,5.198688,4.0322804,7.6449895,7.2509317,5.0058355
25,177615,0.8724646,7.4373736,5.110279,7.5337143,3.60008,5.5733805,3.851951,8.221248,7.2820263,5.048433
26,183295,0.6720032,5.9709783,4.4359455,6.274244,4.4411197,6.69401,3.8273184,7.3507586,5.9843225,4.660287
27,176805,1.20895,7.543739,4.2970905,6.649354,3.1492016,6.386622,3.6008759,6.8224654,6.5343385,5.09797
28,173255,0.4056568,6.6593094,3.675629,6.1367383,3.8022962,6.687457,3.6666653,7.561916,6.084406,4.8982954
29,181065,0.7439488,5.9595027,4.538657,6.2548604,4.4321766,6.682304,3.844375,7.173607,5.961417,4.6314545
30,171759,0.4627234,7.5397854,3.3177488,6.632762,3.526795,6.1811223,3.6241295,7.6372614,6.445429,5.0481334
31,165843,1.045544,6.153063,5.05546,7.6933436,5.3256783,5.7007184,4.0177407,8.600785,6.7655845,4.504452
32,120625,0.8520478,7.286446,4.4777727,6.252336,2.9033172,6.5777664,3.606364,6.9030185,6.4675827,5.118294
33,182293,0.28608364,8.120076,4.0660987,6.905313,2.7604408,5.686662,3.6957262,7.7109904,7.052541,5.260933
